Stim,Bard,Bard 0 or 1,Bard Continuous,GPT-3.5,GPT-3.5 0 or 1,GPT-3.5 Continuous,GPT-4,GPT-4 0 or 1,GPT-4 Continuous
the beach road.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the beach sand.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the beach summer.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the beach sunset.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the beach umbrella.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4
the beard summer.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the bed dog.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the bed face.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the bed flower.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the bed iris.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the bed lake.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the bed mattress.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the bed ocean.,Makes Sense,1,1,Nonsense,0,2,Nonsense,0,1
the bed river.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the bed road.,Makes Sense,1,1,Nonsense,0,2,Nonsense,0,0
the bed sheet.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4
the bed stream.,Nonsense,0,2,Nonsense,0,1,Nonsense,0,1
the bed water.,Nonsense,0,2,Nonsense,0,1,Nonsense,0,0
the bedroom door.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the bedroom house.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the bedroom television.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the bedroom window.,Nonsense,0,3,Makes Sense,1,2,Makes Sense,1,4
the beef salmon.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1
the bell book.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,2
the bell church.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the bell door.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the bell fire.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,1
the bell gold.,Makes Sense,1,4,Makes Sense,1,3,Nonsense,0,1
the bell pepper.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the bell sleigh.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the bell tower.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the bench piano.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the bench seat.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the bible blood.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1
the bible school.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the bike barn.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the bike cop.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,3
the bike headlight.,Makes Sense,1,2,Nonsense,0,3,Makes Sense,1,4
the bike home.,Nonsense,0,2,Nonsense,0,2,Makes Sense,1,3
the bike leg.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the bike mountain.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the bike pants.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,0
the bike seat.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4
the bike street.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,3
the bike summer.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the bird blood.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,1
the bird cage.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the bird cat.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the bird foot.,Nonsense,0,3,Makes Sense,1,1,Nonsense,0,2
the bird guy.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the bird holiday.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,1
the bird leg.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the bird magazine.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,1
the bird meat.,Nonsense,0,2,Makes Sense,1,2,Makes Sense,1,2
the bird pet.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the bird sea.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the bird seat.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,2
the bird snow.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the bird zoo.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,3
the blood alcohol.,Makes Sense,1,2,Nonsense,0,2,Makes Sense,1,4
the blood ape.,Makes Sense,1,2,Nonsense,0,1,Nonsense,0,1
the blood baby.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the blood bible.,Makes Sense,1,1,Makes Sense,1,2,Nonsense,0,1
the blood bird.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,0
the blood cat.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,0
the blood chicken.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1
the blood cow.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,1
the blood duck.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1
the blood father.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the blood gorilla.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1
the blood mother.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,1
the blood soup.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1
the blood stream.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the blood sugar.,Makes Sense,1,3,Nonsense,0,2,Makes Sense,1,4
the body ape.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,0
the body bag.,Makes Sense,1,2,Nonsense,0,1,Makes Sense,1,3
the body car.,Makes Sense,1,3,Nonsense,0,2,Nonsense,0,1
the body deer.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the body dog.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,1
the body girl.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the body truck.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,0
the bomb army.,Makes Sense,1,1,Nonsense,0,2,Nonsense,0,1
the bomb car.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,2
the bomb pipe.,Nonsense,0,1,Nonsense,0,1,Nonsense,0,2
the bomb school.,Nonsense,0,1,Nonsense,0,3,Nonsense,0,1
the book army.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the book baby.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,0
the book bag.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,4
the book baker.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the book bell.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the book bread.,Makes Sense,1,1,Makes Sense,1,2,Nonsense,0,0
the book bridge.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1
the book chess.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the book dog.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the book dollar.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the book horse.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the book jacket.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the book key.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the book magazine.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the book mirror.,Makes Sense,1,4,Makes Sense,1,3,Nonsense,0,2
the book phone.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,2
the book pipe.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,0
the book puppy.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the book school.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the book shelf.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the book telephone.,Nonsense,0,3,Nonsense,0,3,Nonsense,0,1
the book worm.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4
the boot car.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,0
the boot key.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the boot menu.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the boot screen.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the boot stage.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,2
the bottle baby.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the bottle cap.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,4
the bottle neck.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,3
the bottle pill.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,2
the bowl bread.,Nonsense,0,1,Makes Sense,1,3,Nonsense,0,2
the bowl fire.,Makes Sense,1,1,Makes Sense,1,2,Nonsense,0,1
the bowl lid.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the bowl toilet.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the bowl water.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,3
the boy book.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,4
the boy cabin.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,2
the boy clock.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the boy coffee.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the boy home.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,3
the boy house.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,2
the boy mouth.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the boy newspaper.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,2
the boy nurse.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the boy pig.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the boy pool.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the boy sailor.,Makes Sense,1,3,Makes Sense,1,2,Makes Sense,1,3
the boy trash.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,1
the boy water.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,0
the bracelet ankle.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the bracelet tennis.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the bread book.,Makes Sense,1,3,Nonsense,0,2,Nonsense,0,1
the bread bowl.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the bread corn.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,1
the bread flour.,Nonsense,0,4,Makes Sense,1,3,Makes Sense,1,4
the bread knife.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,3
the breakfast menu.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4
the breakfast television.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the breast chicken.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,3
the breast milk.,Nonsense,0,4,Makes Sense,1,3,Makes Sense,1,4
the breast stage.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the brick building.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the brick fireplace.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the brick home.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the brick road.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the bridge bus.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the bridge railroad.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,3
the bridge rope.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,2
the bubble butt.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,2
the bubble gum.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,4
the building bread.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the building car.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,0
the building church.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the building cloud.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the building home.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the building hospital.,Makes Sense,1,4,Makes Sense,1,3,Nonsense,0,3
the building marble.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the building mountain.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,1
the building plant.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the building pond.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the building prison.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1
the building railroad.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,2
the building road.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the building school.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the building ship.,Makes Sense,1,3,Nonsense,0,3,Nonsense,0,1
the building summer.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the bulb headlight.,Makes Sense,1,3,Makes Sense,1,4,Makes Sense,1,4
the bulb refrigerator.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,1
the bulb tulip.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,3
the bull dog.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,2
the bull pen.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,2
the bullet baby.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the bullet gun.,Makes Sense,1,0,Makes Sense,1,2,Makes Sense,1,3
the bullet ice.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,1
the bus bridge.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the bus field.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,2
the bus window.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the butt boy.,Nonsense,0,1,Nonsense,0,1,Nonsense,0,0
the butt bubble.,Nonsense,0,2,Nonsense,0,1,Nonsense,0,0
the butt cheek.,Nonsense,0,2,Nonsense,0,1,Makes Sense,1,0
the butt cigarette.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the butt tongue.,Nonsense,0,1,Nonsense,0,1,Nonsense,0,0
the butter apple.,Nonsense,0,3,Makes Sense,1,2,Nonsense,0,1
the butter hotel.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the butter knife.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,4
the butterfly weed.,Nonsense,0,3,Makes Sense,1,3,Makes Sense,1,2
the cab car.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,3
the cab dollar.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the cab horse.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the cab truck.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the cab window.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the cabin boy.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,4
the cabin door.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the cabin ski.,Nonsense,0,3,Makes Sense,1,2,Makes Sense,1,4
the cabin window.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the cafe hotel.,Makes Sense,1,3,Makes Sense,1,2,Nonsense,0,3
the cafe road.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the cafe rock.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the cage door.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the cage orange.,Makes Sense,1,1,Makes Sense,1,3,Nonsense,0,1
the cage rib.,Makes Sense,1,1,Makes Sense,1,2,Nonsense,0,1
the cake apple.,Makes Sense,1,2,Nonsense,0,3,Nonsense,0,1
the cake cheese.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,2
the cake coffee.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,1
the cake crab.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,3
the cake flour.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,3
the cake honey.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,3
the cake lemon.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,3
the cake marble.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,2
the cake orange.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the candy apple.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the candy cane.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the candy chocolate.,Nonsense,0,3,Makes Sense,1,2,Makes Sense,1,3
the candy dish.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the candy ear.,Nonsense,0,1,Nonsense,0,2,Nonsense,0,0
the candy mountain.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,2
the candy rock.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the candy wine.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the cane sword.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the cap ball.,Nonsense,0,2,Makes Sense,1,3,Nonsense,0,1
the cap bottle.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the cap field.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the cap gold.,Makes Sense,1,3,Nonsense,0,2,Nonsense,0,1
the cap ice.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the cap knee.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,1
the cap screen.,Nonsense,0,2,Nonsense,0,3,Nonsense,0,1
the cap ski.,Nonsense,0,3,Makes Sense,1,3,Nonsense,0,2
the cap skin.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the car body.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the car bomb.,Makes Sense,1,1,Nonsense,0,2,Makes Sense,1,3
the car boot.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,4
the car building.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
the car cattle.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,1
the car clown.,Nonsense,0,2,Nonsense,0,2,Nonsense,0,0
the car engine.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the car magazine.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,3
the car nut.,Makes Sense,1,2,Makes Sense,1,1,Nonsense,0,1
the car phone.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,3
the car radio.,Makes Sense,1,2,Nonsense,0,2,Makes Sense,1,2
the car railroad.,Makes Sense,1,1,Nonsense,0,2,Nonsense,0,1
the car seat.,Makes Sense,1,4,Makes Sense,1,3,Makes Sense,1,4
the car street.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,3
the car window.,Makes Sense,1,3,Makes Sense,1,3,Makes Sense,1,4
the cat bird.,Makes Sense,1,2,Makes Sense,1,2,Nonsense,0,0
the cat blood.,Makes Sense,1,2,Nonsense,0,2,Nonsense,0,0
the cat boy.,Makes Sense,1,2,Makes Sense,1,3,Nonsense,0,1
the cat door.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the cat engine.,Nonsense,0,2,Makes Sense,1,2,Nonsense,0,1
the cat flea.,Makes Sense,1,2,Makes Sense,1,3,Makes Sense,1,3
the cat foot.,Makes Sense,1,2,Makes Sense,1,2,Makes Sense,1,3
the cat magazine.,Nonsense,0,2,Makes Sense,1,3,Makes Sense,1,2
the cat meat.,Nonsense,0,1,Makes Sense,1,2,Nonsense,0,1
the cat mother.,Makes Sense,1,3,Makes Sense,1,3,Nonsense,0,1
