Stimuli,GPT Temp 0,GPT Temp .5,GPT Temp 1,GPT Continuous Temp 0,GPT Continuous Temp .5,GPT Continuous Temp 1,Class,Humans Continuous,SD,N,EAT,USF,Both,LSA,Numletts,Gfrqs,Log_gfrqs,W1frq,W2frq,Wordfrq_sum,Logw1frq,Logw2frq,Logwordfrq_sum
the beach summer., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,1.39,1.29,28,0,0.024,0.01,0.26,11,1980,3.3,1060,2165,3225,3.03,3.34,6.36
the dime bag., Nonsense, Nonsense, Nonsense,2,2,1,1,3.07,1.39,29,0,0,0,0.41,7,4922,3.69,66,1122,1188,1.82,3.05,4.87
the sword cane., Nonsense, Nonsense, Nonsense,2,2,1,1,0.79,1.26,28,0,0,0,0.15,9,3280,3.52,237,177,414,2.37,2.25,4.62
the sky rocket., Makes Sense, Nonsense, Makes Sense,2,2,2,1,2.71,1.33,28,0.02,0,0.01,0.08,9,12603,4.1,1380,146,1526,3.14,2.16,5.3
the tree snow., Makes Sense, Makes Sense, Makes Sense,2,2,3,1,1.21,1.26,29,0,0,0,0.11,8,754,2.88,1293,1055,2348,3.11,3.02,6.13
the mountain road., Nonsense, Nonsense, Nonsense,2,2,3,1,3.72,0.7,29,0,0,0,0.16,12,45943,4.66,829,3791,4620,2.92,3.58,6.5
the alcohol blood., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.71,0.98,28,0,0,0,0.08,12,3074,3.49,324,2536,2860,2.51,3.4,5.91
the kitchen restaurant., Nonsense, Nonsense, Nonsense,2,2,3,-1,1.52,1.18,29,0,0,0,0.38,17,2251,3.35,1890,574,2464,3.28,2.76,6.04
the newspaper photograph., Makes Sense, Makes Sense, Makes Sense,2,2,3,1,3.82,0.61,28,0,0,0,0.09,19,2860,3.46,1116,535,1651,3.05,2.73,5.78
the dish soap., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.96,0.19,28,0,0,0,0.26,8,38270,4.58,390,367,757,2.59,2.56,5.16
the door stage., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.69,0.85,29,0,0,0,0.01,9,508,2.71,5891,2528,8419,3.77,3.4,7.17
the tree orange., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,0.75,0.84,28,0,0,0,0.21,10,645,2.81,1293,495,1788,3.11,2.69,5.81
the pig pet., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.21,1.15,29,0,0,0,0.42,6,1095,3.04,320,242,562,2.51,2.38,4.89
the leg bird., Nonsense, Nonsense, Nonsense,2,1,1,1,0.79,1.17,28,0,0,0,0.12,7,50,1.71,1137,752,1889,3.06,2.88,5.93
the rock candy., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.75,0.65,28,0,0,0,0,9,48823,4.69,1426,113,1539,3.15,2.05,5.21
the ocean swimming., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,1.79,1.45,29,0,0,0,0.24,13,4528,3.66,436,490,926,2.64,2.69,5.33
the rocket guy., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,2.72,1.62,29,0,0,0,-0.02,9,496,2.7,146,465,611,2.16,2.67,4.83
the door barn., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.21,1.35,29,0,0,0,0.32,8,243,2.39,5891,186,6077,3.77,2.27,6.04
the oven home., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.81,1.14,27,0,0,0,0.21,8,3182,3.5,321,8831,9152,2.51,3.95,6.45
the toe nail., Makes Sense, Makes Sense, Makes Sense,3,2,2,1,3.81,0.56,27,0.23,0.156,0.19,0.22,7,28978,4.46,172,216,388,2.24,2.33,4.57
the door coin., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.39,0.69,28,0,0,0,0.02,8,58,1.77,5891,140,6031,3.77,2.15,5.92
the skin banana., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.86,1.01,28,0,0,0,0.09,10,207,2.32,1617,74,1691,3.21,1.87,5.08
the winter wolf., Makes Sense, Makes Sense, Makes Sense,2,2,3,1,3,1.28,28,0,0,0,0.27,10,2251,3.35,1423,119,1542,3.15,2.08,5.23
the book jacket., Makes Sense, Makes Sense, Makes Sense,2,2,3,1,2.89,1.37,28,0,0,0,0.19,10,55504,4.74,4932,617,5549,3.69,2.79,6.48
the rock pet., Nonsense, Nonsense, Makes Sense,2,2,2,-1,1.41,1.59,29,0,0,0,0.02,7,173,2.24,1426,242,1668,3.15,2.38,5.54
the tights stage., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.38,0.68,29,0,,0,0.07,11,0,0,63,2528,2591,1.8,3.4,5.2
the clothes police., Nonsense, Nonsense, Nonsense,2,2,2,1,1.5,1.29,28,0,0,0,0.03,13,6363,3.8,2225,3770,5995,3.35,3.58,6.92
the book baby., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,1.1,1.08,29,0,0,0,0.05,8,4320,3.64,4932,3281,8213,3.69,3.52,7.21
the coffee guy., Makes Sense, Makes Sense, Makes Sense,2,2,3,1,3.46,0.79,28,0,0,0,0.19,9,1963,3.29,1644,465,2109,3.22,2.67,5.88
the water snow., Makes Sense, Makes Sense, Makes Sense,3,2,3,-1,0.79,0.88,28,0,0,0,0.15,9,682,2.83,7749,1055,8804,3.89,3.02,6.91
the duck meat., Makes Sense, Makes Sense, Nonsense,2,2,2,1,3.25,1.21,28,0,0,0,0.15,8,6241,3.8,174,1280,1454,2.24,3.11,5.35
the headlight door., Nonsense, Nonsense, Nonsense,2,2,2,1,0.5,0.75,28,,,,0.01,13,725,2.86,20,5891,5911,1.3,3.77,5.07
the cheese cake., Makes Sense, Makes Sense, Makes Sense,3,3,3,1,3.93,0.38,28,0.04,0.067,0.05,0.48,10,42166,4.62,497,383,880,2.7,2.58,5.28
the pet mouse., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.86,0.45,28,0,0,0,0.34,8,5736,3.76,242,146,388,2.38,2.16,4.55
the axe rope., Nonsense, Nonsense, Nonsense,2,2,1,-1,0.21,0.5,28,0,,0,0.34,7,0,0,127,564,691,2.1,2.75,4.86
the milk rabbit., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.5,0.92,28,0,0,0,0.03,10,0,0,1868,189,2057,3.27,2.28,5.55
the island sand., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,3.26,1.13,27,0.01,0.069,0.04,0.2,10,926,2.97,1209,952,2161,3.08,2.98,6.06
the tomato salad., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,3.43,1.03,28,0.03,0.046,0.04,0.66,11,17609,4.25,123,281,404,2.09,2.45,4.54
the railroad bridge., Makes Sense, Nonsense, Makes Sense,2,2,3,1,3.52,0.95,29,0.01,0,0,0.47,14,47379,4.68,117,1034,1151,2.07,3.01,5.08
the toilet ship., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.52,0.91,29,0,0,0,0.05,10,0,0,415,793,1208,2.62,2.9,5.52
the gun pill., Nonsense, Nonsense, Nonsense,2,2,1,-1,0.14,0.45,28,0,0,0,0.06,7,115,2.06,1138,233,1371,3.06,2.37,5.42
the dwarf pea., Nonsense, Nonsense, Makes Sense,2,2,2,1,1.46,1.35,28,0,0,0,0.12,8,721,2.86,129,30,159,2.11,1.48,3.59
the thumb nail., Makes Sense, Makes Sense, Makes Sense,3,2,2,1,3.75,0.84,28,0.33,0.176,0.25,0.43,9,58540,4.77,409,216,625,2.61,2.33,4.95
the shelf library., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,1.39,1.34,28,0,0,0,0.31,12,411,2.61,246,942,1188,2.39,2.97,5.36
the tennis bracelet., Makes Sense, Makes Sense, Makes Sense,2,2,3,1,3.5,0.92,28,0,0,0,0.16,14,61081,4.79,398,65,463,2.6,1.81,4.41
the jacket army., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.69,0.93,29,0,0,0,0.09,10,169,2.23,617,1933,2550,2.79,3.29,6.08
the clown circus., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,2.52,1.33,29,0.28,0.237,0.26,0.52,11,384,2.59,58,257,315,1.76,2.41,4.17
the gym home., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.86,1.01,28,0,0,0,0.24,7,5422,3.73,73,8831,8904,1.86,3.95,5.81
the ship toilet., Nonsense, Nonsense, Nonsense,2,2,1,1,1.54,1.53,28,0,0,0,0.05,10,41,1.62,793,415,1208,2.9,2.62,5.52
the boy sailor., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,3.32,0.98,28,0,0,0,0.16,9,613,2.79,3876,101,3977,3.59,2,5.59
the guy cop., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.75,0.59,28,,0,0,0.48,6,1122,3.05,465,155,620,2.67,2.19,4.86
the gum bubble., Makes Sense, Makes Sense, Makes Sense,3,3,2,-1,1.86,1.27,29,0.02,0.054,0.04,0.44,9,2990,3.48,92,75,167,1.96,1.88,3.84
the sheet rain., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.82,1.36,28,0,0,0,0.01,9,148,2.17,616,1279,1895,2.79,3.11,5.9
the rain water., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,3.54,1.17,28,0.02,0.058,0.04,0.32,9,109609,5.04,1279,7749,9028,3.11,3.89,7
the juice tomato., Makes Sense, Makes Sense, Makes Sense,3,2,2,-1,1.14,0.95,29,0.05,0,0.02,0.35,11,353,2.55,365,123,488,2.56,2.09,4.65
the flower field., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,3.21,1.2,28,0,0,0,0.08,11,4492,3.65,496,2327,2823,2.7,3.37,6.06
the flower garden., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,3.86,0.62,56,0.06,0.036,0.05,0.56,12,127355,5.11,496,1998,2494,2.7,3.3,6
the mountain building., Nonsense, Nonsense, Nonsense,2,2,3,1,1.59,1.57,29,0,0,0,0.08,16,17779,4.25,829,2854,3683,2.92,3.46,6.37
the house star., Nonsense, Nonsense, Nonsense,2,2,2,1,0.93,1.12,28,0,0,0,0.03,9,865,2.94,8601,952,9553,3.93,2.98,6.91
the foot water., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.68,1.02,28,0,0,0,0.18,9,12091,4.08,1797,7749,9546,3.25,3.89,7.14
the face horse., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.76,0.87,29,0,0,0,0.1,9,3982,3.6,8000,1518,9518,3.9,3.18,7.08
the log square., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.96,1.32,28,0,0,0,0.13,9,173,2.24,134,1652,1786,2.13,3.22,5.35
the radio fire., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.89,1.34,28,0,0,0,0.04,9,794,2.9,1503,2738,4241,3.18,3.44,6.61
the queen bee., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,4,0,28,0.13,0.041,0.09,0.26,8,23949,4.38,889,118,1007,2.95,2.07,5.02
the rain cloud., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,4,0,28,0,0.032,0.02,0.53,9,18720,4.27,1279,560,1839,3.11,2.75,5.86
the baby face., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.64,0.78,28,0.08,0,0.04,0.22,8,27006,4.43,3281,8000,11281,3.52,3.9,7.42
the sand river., Makes Sense, Makes Sense, Nonsense,2,2,3,-1,1.76,1.18,29,0,0,0,0.06,9,940,2.97,952,1938,2890,2.98,3.29,6.27
the candy ear., Makes Sense, Makes Sense, Nonsense,2,2,2,-1,0.54,0.92,28,,0,0,0.07,8,1099,3.04,113,751,864,2.05,2.88,4.93
the face mirror., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.61,1.52,28,0,0.016,0.01,0.29,10,830,2.92,8000,735,8735,3.9,2.87,6.77
the body girl., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.34,1.29,29,0,0,0,0.07,8,4006,3.6,5243,4944,10187,3.72,3.69,7.41
the police truck., Makes Sense, Makes Sense, Nonsense,2,2,2,1,3.72,0.53,29,0,0,0,0.25,11,3984,3.6,3770,444,4214,3.58,2.65,6.22
the duck blood., Nonsense, Nonsense, Nonsense,2,2,2,1,2.71,1.49,28,0,0,0,0.02,9,1480,3.17,174,2536,2710,2.24,3.4,5.64
the chicken meat., Makes Sense, Makes Sense, Nonsense,2,2,2,1,3.86,0.76,28,0.01,0.016,0.01,0.6,11,39489,4.6,534,1280,1814,2.73,3.11,5.83
the key typewriter., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.68,1.33,28,0,0,0,0.4,13,143,2.16,1281,157,1438,3.11,2.2,5.3
the child boy., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.43,1.23,28,0.02,0.051,0.04,0.17,8,2429,3.39,7645,3876,11521,3.88,3.59,7.47
the fire radio., Nonsense, Nonsense, Nonsense,2,2,2,1,1.1,1.45,29,0,0,0,0.04,9,1916,3.28,2738,1503,4241,3.44,3.18,6.61
the hawk chicken., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.39,0.69,28,0,0,0,0.23,11,100,2,71,534,605,1.85,2.73,4.58
the teeth gold., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.93,0.96,29,0,0,0,0.04,9,129,2.11,1396,1575,2971,3.14,3.2,6.34
the wine candy., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.82,1.09,28,0,0,0,0.15,9,109,2.04,1313,113,1426,3.12,2.05,5.17
the summer ocean., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,2.48,1.4,29,0,0,0,0.12,11,646,2.81,2165,436,2601,3.34,2.64,5.97
the house summer., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,0.89,1.23,28,0,0,0,0.23,11,1200,3.08,8601,2165,10766,3.93,3.34,7.27
the log telephone., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.46,0.88,28,0,0,0,0.05,12,149,2.18,134,1810,1944,2.13,3.26,5.38
the bike pants., Nonsense, Nonsense, Nonsense,2,2,2,1,2.9,1.47,29,0,0,0,0.3,9,2731,3.44,153,282,435,2.18,2.45,4.63
the door refrigerator., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.89,1.1,28,0,0,0,0.22,16,9893,4,5891,152,6043,3.77,2.18,5.95
the shrimp salad., Makes Sense, Makes Sense, Makes Sense,3,2,3,-1,3.89,0.31,28,,0,0,0.3,11,10870,4.04,26,281,307,1.41,2.45,3.86
the tennis ball., Makes Sense, Makes Sense, Makes Sense,2,2,3,1,4,0,28,0.21,0.307,0.26,0.55,10,137590,5.14,398,1664,2062,2.6,3.22,5.82
the home radio., Nonsense, Nonsense, Nonsense,2,2,2,1,2.97,1.05,29,0,0,0,0.15,9,6886,3.84,8831,1503,10334,3.95,3.18,7.12
the mask money., Makes Sense, Makes Sense, Nonsense,2,2,2,1,0.82,0.94,28,0,0,0,0.06,9,151,2.18,253,7226,7479,2.4,3.86,6.26
the road gold., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.41,0.73,29,0,0,0,0.01,8,205,2.31,3791,1575,5366,3.58,3.2,6.78
the road mountain., Nonsense, Nonsense, Nonsense,2,2,3,-1,0.86,1.11,28,0,0,0,0.16,12,3426,3.53,3791,829,4620,3.58,2.92,6.5
the crown gold., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.38,1.01,29,0.02,0,0.01,0.22,9,643,2.81,436,1575,2011,2.64,3.2,5.84
the book puppy., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,0.59,0.95,29,0,0,0,0.05,9,58,1.77,4932,87,5019,3.69,1.94,5.63
the stage kitten., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.24,1.21,29,0,0,0,-0.01,11,0,0,2528,71,2599,3.4,1.85,5.25
the taxi river., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.62,1.05,29,0,0,0,-0.01,9,0,0,529,1938,2467,2.72,3.29,6.01
the girl child., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,2.36,1.19,28,0,0,0,0.23,9,75412,4.88,4944,7645,12589,3.69,3.88,7.58
the phone jail., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.5,0.84,28,0,0,0,0.12,9,210,2.32,1414,530,1944,3.15,2.72,5.87
the school police., Nonsense, Nonsense, Nonsense,2,2,2,1,3.57,0.69,28,0,0,0,0.05,12,7498,3.88,6984,3770,10754,3.84,3.58,7.42
the home crib., Nonsense, Nonsense, Nonsense,2,2,2,1,1.59,1.32,29,0,0,0,0.15,8,119,2.08,8831,19,8850,3.95,1.28,5.22
the orange cake., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,3.61,0.83,28,0,0,0,0.25,10,4958,3.7,495,383,878,2.69,2.58,5.28
the radio home., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.11,1.17,28,0,0,0,0.15,9,7407,3.87,1503,8831,10334,3.18,3.95,7.12
the butt tongue., Nonsense, Nonsense, Nonsense,2,1,1,-1,0.38,0.9,29,,0,0,0.09,10,207,2.32,121,602,723,2.08,2.78,4.86
the chicken farmer., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.69,0.6,29,0,0,0,0.23,13,7754,3.89,534,562,1096,2.73,2.75,5.48
the orange tent., Makes Sense, Makes Sense, Nonsense,2,2,2,1,3.86,0.45,28,0,0,0,0.17,10,727,2.86,495,657,1152,2.69,2.82,5.51
the pup bull., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.24,1.35,29,0,,0,0.22,7,60,1.79,16,378,394,1.2,2.58,3.78
the bedroom window., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.89,0.58,27,0.03,0.036,0.03,0.67,13,112078,5.05,1000,2372,3372,3,3.38,6.38
the guy bird., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.57,1.32,28,,0,0,0.03,7,0,0,465,752,1217,2.67,2.88,5.54
the engine vehicle., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.07,1.13,29,0,0,0,0.4,13,2930,3.47,788,383,1171,2.9,2.58,5.48
the key boot., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.25,0.59,28,0,0,0,0.09,7,1107,3.04,1281,159,1440,3.11,2.2,5.31
the mountain sunset., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,3.24,1.3,29,0,0,0,0.16,14,1113,3.05,829,165,994,2.92,2.22,5.14
the necklace diamond., Makes Sense, Makes Sense, Makes Sense,3,2,3,-1,1.75,1.21,28,0.09,0.084,0.09,0.18,15,6972,3.84,41,140,181,1.61,2.15,3.76
the farmer chicken., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,0.96,1.1,28,0,0,0,0.23,13,0,0,562,534,1096,2.75,2.73,5.48
the sunshine stream., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,1.93,1.6,29,0,0,0,0.2,14,112,2.05,302,673,975,2.48,2.83,5.31
the cabin log., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,2.41,1.27,29,0.14,0.415,0.28,0.56,8,3058,3.49,485,134,619,2.69,2.13,4.81
the apple tomato., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,0.69,1.04,29,0,0,0,0.31,11,46,1.67,315,123,438,2.5,2.09,4.59
the face chair., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.25,0.59,28,0,0,0,0.44,9,102,2.01,8000,1876,9876,3.9,3.27,7.18
the chicken pen., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,2.9,1.68,29,0,0,0,0.25,10,2359,3.37,534,349,883,2.73,2.54,5.27
the blood sugar., Nonsense, Nonsense, Nonsense,2,2,2,1,3.43,1.35,28,0,0,0,0.12,10,1109006,6.04,2536,976,3512,3.4,2.99,6.39
the fisherman lobster., Makes Sense, Makes Sense, Nonsense,2,2,2,-1,0.93,1.28,29,,,,0.52,16,0,0,64,36,100,1.81,1.56,3.36
the winter rain., Makes Sense, Makes Sense, Makes Sense,2,2,3,1,3.11,1.23,28,0,0,0,0.26,10,15754,4.2,1423,1279,2702,3.15,3.11,6.26
the square cake., Makes Sense, Makes Sense, Makes Sense,3,2,2,1,3.48,0.78,29,0,0,0,0.05,10,8387,3.92,1652,383,2035,3.22,2.58,5.8
the street phone., Nonsense, Nonsense, Nonsense,2,2,2,1,3.11,1.23,28,0,0,0,0.2,11,676,2.83,4546,1414,5960,3.66,3.15,6.81
the shoe road., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.36,0.68,28,0,0,0,0.17,8,372,2.57,253,3791,4044,2.4,3.58,5.98
the pig mouth., Nonsense, Nonsense, Makes Sense,2,2,2,1,3.24,1.33,29,0,0,0,0.14,8,133,2.13,320,2411,2731,2.51,3.38,5.89
the chocolate soup., Makes Sense, Makes Sense, Nonsense,3,2,2,1,2.31,1.37,29,0,0,0,0.49,13,1869,3.27,232,362,594,2.37,2.56,4.92
the gold money., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,3.25,1.21,28,0.07,0.102,0.09,0.16,9,8763,3.94,1575,7226,8801,3.2,3.86,7.06
the skin zebra., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.89,0.99,28,0,0,0,0.01,9,45,1.66,1617,24,1641,3.21,1.38,4.59
the candy wine., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,1.32,1.52,28,,0,0,0.15,9,168,2.23,113,1313,1426,2.05,3.12,5.17
the boy pants., Nonsense, Nonsense, Makes Sense,2,2,2,1,2.32,1.39,28,0,0,0,0.24,8,2786,3.45,3876,282,4158,3.59,2.45,6.04
the book baker., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,0.21,0.63,28,0,0,0,0.06,9,273,2.44,4932,269,5201,3.69,2.43,6.12
the plant water., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,2.43,1.53,28,0,0.017,0.01,0.25,10,21959,4.34,1302,7749,9051,3.11,3.89,7
the rat pet., Makes Sense, Makes Sense, Makes Sense,2,2,2,-1,1.24,1.21,29,0,0,0,0.38,6,289,2.46,156,242,398,2.19,2.38,4.58
the rocket ski., Nonsense, Nonsense, Nonsense,2,2,2,1,0.93,0.92,29,0,0,0,0.02,9,176,2.25,146,110,256,2.16,2.04,4.21
the library church., Nonsense, Nonsense, Nonsense,2,2,3,-1,0.68,1.09,28,0,0,0,0.05,13,69,1.85,942,2844,3786,2.97,3.45,6.43
the home building., Nonsense, Nonsense, Nonsense,2,2,2,1,2.28,1.31,29,0,0,0,0.23,12,270376,5.43,8831,2854,11685,3.95,3.46,7.4
the ice shelf., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,2.29,1.41,28,0,0,0,0.09,8,38656,4.59,934,246,1180,2.97,2.39,5.36
the bomb army., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.04,1,28,0,0,0,0.07,8,51,1.72,536,1933,2469,2.73,3.29,6.02
the sky tower., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,2.07,1.15,28,0,0,0,0.27,8,2456,3.39,1380,832,2212,3.14,2.92,6.06
the cake coffee., Makes Sense, Makes Sense, Makes Sense,3,2,3,-1,1.21,0.9,29,0,0,0,0.35,10,1918,3.28,383,1644,2027,2.58,3.22,5.8
the pants knee., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.46,1.32,28,0,0,0,0.45,9,170,2.23,282,527,809,2.45,2.72,5.17
the door screen., Nonsense, Nonsense, Nonsense,2,2,2,-1,3,1.41,28,0,0,0,0.13,10,5333,3.73,5891,518,6409,3.77,2.71,6.48
the school field., Nonsense, Nonsense, Nonsense,2,2,2,1,3.43,1.07,28,0,0,0,0.13,11,34750,4.54,6984,2327,9311,3.84,3.37,7.21
the guy rocket., Nonsense, Nonsense, Nonsense,2,2,2,-1,0.71,1.15,28,,0,0,-0.02,9,0,0,465,146,611,2.67,2.16,4.83
the potato salad., Makes Sense, Makes Sense, Makes Sense,3,2,3,1,4,0,29,0.04,0.027,0.03,0.52,11,136401,5.13,206,281,487,2.31,2.45,4.76
the phone house., Nonsense, Nonsense, Nonsense,2,2,2,-1,1.34,1.16,58,0,0,0,0.17,10,1477,3.17,1414,8601,10015,3.15,3.93,7.08
the tree peach., Makes Sense, Makes Sense, Makes Sense,2,2,3,-1,1.52,1.15,29,0,0,0,0.28,9,164,2.22,1293,47,1340,3.11,1.67,4.78
the goat baby., Nonsense, Nonsense, Nonsense,2,2,2,-1,2.71,1.36,28,0,0,0,0.04,8,408,2.61,209,3281,3490,2.32,3.52,5.84
the baby corn., Makes Sense, Makes Sense, Makes Sense,2,2,2,1,3.36,1.22,28,0,0,0,0.07,8,20116,4.3,3281,445,3726,3.52,2.65,6.16
the soup onion., Makes Sense, Makes Sense, Makes Sense,3,2,2,-1,1.82,1.42,28,0,0.024,0.01,0.34,9,67,1.83,362,170,532,2.56,2.23,4.79
